TQ,DPQ,C,OU,DI,DFT,DFO,RD
3,1,4,2,36,6,3,17
1,1,1,4,11,15,11,18
3,0,0,1,54,5,11,0
1,2,4,3,6,0,33,3
1,1,4,0,62,2,11,0
4,4,4,1,85,22,4,6
4,0,2,3,35,2,8,8
0,2,1,4,58,5,2,0
0,0,1,0,12,9,6,4
2,0,1,0,44,5,2,8
1,0,1,0,62,20,5,22
2,0,4,4,1,16,4,15
4,1,1,1,18,15,9,4
4,2,4,0,11,7,69,2
2,4,4,2,29,1,26,3
3,3,3,4,35,15,6,2
4,4,2,3,32,21,7,2
0,4,3,0,1,1,32,19
4,1,0,0,36,26,6,12
4,2,4,3,31,9,0,7
0,1,2,3,12,20,13,4
4,0,0,0,29,19,14,2
3,4,4,3,47,1,8,1
1,2,3,4,14,18,21,0
1,2,3,0,18,6,8,19
2,3,0,4,10,4,14,2
3,2,2,2,1,19,18,14
0,4,3,2,46,13,5,10
1,2,4,3,32,1,14,12
4,3,4,0,3,13,9,17
2,1,3,1,10,2,7,1
4,4,0,3,40,3,4,7
0,1,3,0,3,2,17,9
0,1,2,3,86,17,5,6
2,1,3,2,0,6,11,10
3,3,0,4,57,0,5,8
1,0,2,0,21,35,1,13
3,4,3,0,39,15,0,0
0,4,1,3,2,2,14,1
0,0,4,0,60,11,15,3
1,3,1,4,15,6,7,4
1,1,0,2,24,19,64,17
4,1,1,2,30,9,40,13
0,0,3,4,35,6,6,32
2,4,1,3,21,7,17,5
0,1,0,0,5,23,0,6
0,4,1,2,55,27,5,2
4,0,4,2,12,2,9,7
1,0,3,3,20,3,0,1
0,1,3,2,4,4,10,9
1,2,2,2,33,1,8,12
0,3,1,3,28,2,1,17
2,3,3,2,7,4,0,13
0,0,0,0,37,1,7,3
1,0,0,4,37,3,3,6
1,1,4,1,7,17,6,6
3,2,2,2,67,10,15,1
3,0,4,0,32,53,41,7
2,3,0,0,21,24,16,8
3,0,0,0,86,23,4,3
0,4,1,1,31,0,6,0
4,2,4,3,28,5,4,6
0,2,1,4,39,13,16,15
3,4,2,4,69,2,5,17
0,4,3,2,14,37,18,2
0,3,1,0,19,11,2,2
3,2,1,3,22,5,16,13
1,4,2,0,75,7,3,19
1,3,3,1,41,57,7,21
0,1,2,1,24,22,2,0
2,0,0,4,20,5,13,5
3,4,4,3,4,45,7,4
1,0,4,3,37,22,5,6
0,4,0,4,9,40,3,6
4,2,3,3,80,24,10,1
4,2,4,3,35,18,12,0
1,1,3,4,41,34,3,13
3,0,1,0,10,23,12,2
0,4,2,2,23,11,45,17
1,3,0,0,42,6,16,8
1,1,1,2,19,53,1,10
0,1,3,2,31,2,10,9
2,1,0,0,24,4,2,2
2,0,3,2,28,2,27,1
1,4,0,3,10,1,14,10
0,4,1,1,8,44,14,21
2,3,2,4,48,0,2,1
1,2,1,3,41,6,19,0
4,2,0,3,27,28,3,4
1,2,1,1,34,17,10,6
2,4,3,2,30,1,4,21
2,1,0,1,41,4,28,0
0,2,4,2,6,10,11,15
1,0,0,3,5,13,0,5
4,2,3,0,22,8,14,7
1,2,3,3,25,3,2,2
1,3,4,1,54,53,8,8
1,3,2,4,1,24,5,0
0,1,2,2,32,18,0,11
1,2,4,0,54,7,15,8
0,4,4,0,48,17,20,4
1,1,3,2,21,12,8,1
2,2,0,3,59,5,22,4
2,3,3,2,29,9,0,10
3,2,0,0,14,41,16,54
4,2,3,2,39,28,0,0
3,0,4,4,64,13,24,1
2,4,2,2,57,26,0,3
2,3,1,4,56,4,3,1
3,2,0,0,25,8,21,3
3,0,3,1,28,20,25,3
0,4,2,0,11,8,15,0
3,2,4,2,0,18,38,19
1,4,0,2,42,27,5,16
0,3,1,2,13,5,9,3
2,4,0,2,7,25,12,2
2,0,4,2,35,2,0,0
3,4,1,3,51,29,18,16
0,2,2,4,4,9,12,2
3,4,0,3,70,5,30,7
2,1,3,2,13,8,9,2
4,0,0,2,25,6,2,2
4,4,4,3,27,1,1,6
3,2,0,3,53,3,2,6
4,3,1,0,42,1,0,5
0,4,3,2,47,5,25,7
4,3,1,3,6,27,7,14
4,3,2,2,8,5,11,1
2,3,4,1,60,25,25,5
1,3,4,4,20,30,0,5
0,4,4,2,65,19,40,3
2,1,1,2,49,7,18,10
0,4,0,2,6,1,36,6
1,0,2,1,14,9,13,11
1,2,3,3,13,4,5,6
4,0,2,3,34,29,5,21
4,1,2,2,31,13,2,5
2,3,1,0,53,8,41,15
4,0,3,1,34,2,6,3
3,0,3,0,64,0,11,2
4,3,3,1,38,1,0,20
1,2,0,4,43,8,6,3
3,4,3,2,47,3,2,0
0,4,0,1,65,1,1,7
2,1,0,0,53,9,33,8
4,2,3,0,5,24,1,5
1,3,1,1,59,11,2,6
2,2,2,0,60,10,11,10
4,3,2,4,46,1,31,8
1,4,3,2,29,7,5,4
4,1,2,2,9,24,56,8
3,4,2,2,39,4,2,21
4,2,0,4,13,6,33,1
4,0,0,2,26,2,21,15
2,1,3,3,17,2,5,0
3,1,2,3,58,19,5,9
4,0,3,1,5,38,4,1
0,0,3,0,9,14,11,6
4,3,2,0,19,30,3,2
0,4,3,1,10,0,6,0
0,2,4,3,40,29,2,0
3,1,0,4,30,9,6,4
3,3,4,3,3,65,18,2
0,2,4,3,4,20,4,14
1,3,0,2,12,1,7,6
2,0,4,4,10,9,31,11
1,0,4,2,30,8,8,2
2,4,3,4,19,31,26,8
4,4,1,2,48,3,4,3
2,1,4,3,25,13,7,18
1,1,2,4,7,7,23,11
2,1,3,4,23,20,9,1
3,0,0,4,4,3,24,0
2,1,0,3,19,18,1,2
0,3,2,3,17,10,11,3
4,4,4,0,74,5,19,1
0,3,1,2,29,5,9,5
2,4,1,2,18,4,12,8
3,2,2,3,69,10,2,2
0,1,1,4,0,60,1,6
4,3,3,2,66,22,2,15
2,3,2,0,34,13,0,12
0,2,4,4,25,3,14,17
4,1,3,0,67,17,13,2
4,0,3,3,22,13,6,0
3,0,2,3,18,3,21,8
0,0,3,1,10,43,2,9
2,0,2,1,17,32,1,18
4,3,3,0,39,1,47,2
4,0,4,1,74,3,3,2
0,1,3,4,38,23,13,12
1,0,2,1,38,9,50,10
0,2,0,4,10,4,12,9
2,2,0,1,21,24,15,12
1,4,1,0,65,10,4,4
0,4,1,2,51,32,27,0
1,4,0,3,18,27,13,7
0,3,2,4,52,2,16,4
0,0,4,3,44,15,48,1
4,1,4,4,4,1,10,19
0,2,0,2,47,19,1,7
2,2,4,2,43,33,9,6
2,3,0,0,10,2,7,9
0,1,3,3,31,13,13,14
4,4,0,2,52,4,37,9
2,1,1,2,75,5,1,2
4,2,0,1,29,20,27,8
4,1,0,1,11,15,30,18
0,1,1,3,32,0,14,1
0,1,3,2,10,4,16,7
1,4,4,0,12,10,16,18
2,4,4,4,23,22,3,1
0,2,3,3,5,13,6,6
3,0,1,1,44,11,3,3
3,4,1,4,22,4,0,7
3,3,1,3,35,1,6,17
0,3,2,1,1,21,54,0
0,4,0,4,62,10,1,1
1,1,2,4,36,12,2,2
4,4,4,0,40,8,26,2
1,0,3,4,16,0,2,0
1,3,2,3,7,13,28,7
1,2,2,0,44,6,7,2
0,3,3,0,6,46,16,3
3,2,4,0,16,44,9,1
1,0,2,2,24,43,8,21
0,1,4,1,16,15,10,1
2,2,3,3,40,2,3,39
4,0,2,4,39,8,12,17
0,4,4,1,3,6,31,29
1,4,3,4,5,16,10,19
0,0,0,1,29,0,4,16
1,2,4,2,42,23,36,0
0,4,3,3,53,0,18,3
0,0,3,1,20,35,25,15
2,4,3,0,30,24,18,6
0,0,1,3,64,25,31,4
3,2,3,0,54,8,17,4
2,1,3,2,1,21,3,7
2,3,3,2,31,8,0,6
4,3,1,3,16,1,5,1
0,0,1,2,6,0,32,3
4,3,1,4,47,9,3,28
3,1,4,3,34,15,12,11
0,1,1,3,60,8,0,2
0,1,3,3,36,23,26,22
0,3,3,2,7,8,29,8
1,1,3,1,28,6,1,21
2,3,3,2,5,53,11,7
3,1,3,3,10,1,6,4
1,2,3,1,27,24,3,6
1,0,0,3,2,8,18,2
4,1,0,0,53,6,37,26
4,1,0,3,51,2,0,11
3,4,4,1,19,0,8,3
4,4,1,2,25,16,15,14
1,2,3,4,50,6,19,7
3,0,4,3,4,18,28,23
3,1,2,0,20,29,0,4
0,0,2,4,1,11,6,2
4,4,3,2,21,5,20,2
3,1,2,1,18,9,11,9
1,2,3,0,3,15,15,5
4,2,0,3,35,38,0,0
1,3,1,0,41,34,5,3
1,1,2,3,51,9,35,5
2,4,0,3,10,7,4,9
4,4,3,4,14,6,17,4
3,1,1,2,46,15,23,3
4,4,4,3,24,8,17,1
1,1,1,4,24,8,5,4
2,2,1,0,8,5,5,29
3,0,3,0,34,0,9,2
1,0,0,0,27,37,8,7
4,4,3,3,24,18,0,5
4,3,0,3,39,17,2,9
4,1,2,4,64,6,9,1
0,3,0,1,56,0,22,4
4,1,3,1,32,7,1,0
1,2,4,4,73,29,5,3
0,0,2,4,18,26,11,7
1,3,2,0,114,8,15,25
0,2,3,0,15,8,9,2
4,4,4,1,34,13,14,2
1,0,0,0,62,11,20,5
2,3,0,4,51,9,16,3
4,3,0,2,41,2,46,0
0,3,3,3,37,15,4,5
2,3,1,2,59,5,10,7
1,0,0,0,16,15,37,12
2,3,0,1,27,4,6,15
1,0,3,4,52,56,10,4
2,0,4,1,8,29,5,0
4,3,4,1,29,9,8,8
3,3,0,3,4,10,3,1
3,2,1,3,26,6,16,0
4,0,4,4,20,12,9,9
0,3,0,4,44,46,2,6
4,2,3,2,27,9,23,3
2,0,4,4,56,0,4,7
0,4,3,2,23,10,24,2
0,4,1,3,36,19,6,11
3,1,4,0,18,9,12,3
3,4,2,4,43,12,21,11
3,2,2,0,36,25,14,3
1,4,2,3,52,8,6,12
3,3,1,0,7,5,10,2
2,4,3,1,13,6,0,11
4,0,2,4,21,7,37,7
1,3,4,2,8,11,5,2
0,2,2,1,77,7,17,24
4,2,4,2,44,7,3,20
1,0,2,0,27,29,35,2
1,2,1,2,3,39,9,9
3,3,3,4,37,16,2,8
2,1,2,4,4,18,5,13
4,1,1,4,37,2,15,4
1,2,2,2,4,8,14,7
2,1,3,0,28,28,0,9
0,2,1,3,2,3,42,2
1,3,4,1,66,22,27,2
2,4,0,0,12,5,1,1
0,0,0,2,84,0,13,17
4,4,3,1,25,14,34,0
4,0,1,2,40,5,19,20
1,1,1,3,11,24,5,3
2,2,0,1,33,43,4,9
2,4,2,3,3,32,6,2
4,4,2,0,58,16,14,7
3,3,4,3,30,1,20,33
2,0,1,0,15,13,3,8
1,1,2,0,47,5,27,22
0,0,3,0,18,11,43,0
2,0,2,2,22,4,6,1
1,2,2,1,30,4,2,9
4,4,2,0,19,0,0,7
4,4,2,1,30,35,3,20
2,4,1,4,60,30,1,6
0,2,3,3,22,7,1,10
0,4,3,4,30,22,16,38
4,1,0,0,28,13,7,1
1,4,2,3,47,14,15,15
2,1,2,2,31,4,4,5
1,3,0,4,16,1,25,20
3,4,3,4,7,14,0,4
0,2,4,3,9,15,7,2
4,1,2,4,13,36,21,1
3,1,2,2,49,10,1,1
3,3,2,4,22,10,5,5
2,0,3,1,12,26,10,23
2,0,3,0,0,19,3,0
3,2,1,0,29,5,5,21
1,1,2,3,17,28,1,16
0,4,1,3,17,3,3,2
3,2,2,3,64,2,2,24
2,0,2,1,4,6,18,2
2,2,3,1,15,31,6,11
2,2,0,1,67,11,5,5
4,2,1,1,16,25,0,2
3,2,4,4,6,2,0,8
4,0,1,1,11,2,1,14
4,2,2,0,7,10,0,0
0,4,4,4,67,14,1,2
3,4,1,1,20,18,34,1
0,0,0,3,39,11,24,0
4,0,0,0,81,7,5,3
1,2,4,0,33,15,11,6
3,0,0,3,2,58,14,8
1,4,2,4,36,11,14,10
2,3,4,1,48,9,1,2
0,1,2,1,0,27,22,2
1,0,2,3,13,11,4,4
0,2,0,2,38,5,11,0
1,4,4,4,18,24,5,13
4,0,4,4,25,34,1,18
2,4,2,1,12,6,11,1
2,2,4,1,58,79,44,7
1,1,0,0,35,0,1,5
2,3,4,1,3,19,5,5
2,3,2,4,3,22,27,10
4,1,2,3,30,10,11,14
2,2,4,0,73,57,12,2
4,2,4,2,11,38,2,15
3,3,4,0,27,21,4,1
1,1,1,0,34,10,21,3
0,0,3,3,15,52,15,3
2,4,2,2,2,26,1,12
1,3,3,4,37,0,2,0
4,1,0,1,70,7,2,19
1,3,4,4,35,8,12,21
0,3,0,4,52,5,27,0
2,4,0,4,8,11,4,3
0,4,2,0,23,23,6,13
4,2,2,1,82,6,8,0
0,2,1,4,7,0,3,0
3,2,1,3,52,7,5,0
4,2,0,4,51,10,13,18
0,0,0,2,9,27,7,5
1,0,4,2,69,31,23,15
1,2,2,0,2,12,20,16
0,1,0,0,14,15,12,2
1,3,4,4,19,0,4,5
3,1,1,0,13,1,6,4
2,4,1,2,27,12,47,7
2,3,0,1,57,4,11,7
1,0,2,3,15,1,12,0
0,2,2,2,84,20,2,2
3,1,1,1,98,16,1,3
1,1,0,3,60,9,2,15
3,0,3,0,8,19,7,16
3,4,2,4,21,0,6,12
4,1,0,3,28,18,36,9
3,4,4,4,71,9,2,0
3,2,3,2,10,12,8,10
3,1,4,0,34,7,4,5
3,1,4,0,3,28,12,4
0,2,0,1,31,13,3,12
2,0,1,4,64,4,28,6
3,1,0,3,37,14,32,28
4,4,1,4,8,10,7,13
0,2,2,1,18,10,44,1
4,4,3,0,32,38,30,8
1,2,4,4,11,32,6,0
2,3,2,1,6,0,11,8
2,2,0,3,48,5,1,2
0,3,2,0,37,24,3,7
1,3,4,0,38,31,11,2
4,3,1,3,55,11,5,0
0,2,3,4,12,33,2,10
4,0,1,3,46,6,3,3
2,3,3,3,67,21,2,4
2,2,0,2,27,18,4,1
0,2,3,1,55,11,8,3
0,3,4,3,38,3,43,4
3,1,3,4,70,10,1,5
2,4,4,1,90,2,0,11
4,3,0,0,22,13,22,0
3,3,4,1,3,10,6,15
3,0,2,2,40,43,14,0
4,2,3,1,2,44,22,15
3,4,1,4,22,16,10,11
0,2,3,2,78,12,3,3
0,0,2,4,22,1,20,3
3,4,3,2,34,7,3,23
3,0,0,3,54,27,21,8
2,2,1,4,20,6,3,20
3,4,2,0,12,2,5,18
1,1,2,3,52,6,20,41
1,1,2,2,29,10,13,7
3,1,4,0,47,19,4,3
3,3,2,1,24,11,9,7
2,1,0,1,6,22,6,15
0,0,1,3,4,99,7,11
0,4,4,3,12,9,2,0
0,0,1,3,36,10,4,15
2,0,3,2,24,7,1,0
2,2,0,0,14,50,20,9
2,1,2,0,34,20,8,21
4,0,1,4,72,10,27,9
3,2,0,0,30,34,15,11
0,2,4,3,34,15,21,17
2,0,3,4,53,7,10,1
0,1,1,2,13,3,3,12
0,0,1,1,21,3,0,7
4,4,3,2,9,1,59,11
3,3,2,1,18,0,8,10
3,2,2,1,22,23,0,11
2,0,4,4,85,8,9,8
0,2,0,0,44,10,0,11
0,4,3,2,15,2,1,2
0,1,2,3,23,12,47,29
0,4,4,1,39,12,1,9
1,0,1,4,33,2,9,0
1,1,3,0,39,5,28,20
2,2,2,3,12,17,3,6
0,0,0,2,8,11,21,7
3,3,4,2,54,52,24,7
0,2,4,3,8,23,56,7
4,0,0,3,44,14,21,8
2,2,0,2,16,67,17,7
4,1,0,2,60,33,9,14
4,0,0,4,49,18,0,2
2,3,1,2,47,4,11,18
4,1,4,3,0,25,16,16
2,0,1,4,55,2,23,1
3,0,1,1,53,2,7,18
0,1,0,3,0,5,0,0
1,0,2,4,38,10,0,0
4,2,0,2,43,16,12,2
4,3,3,3,85,2,0,3
4,1,3,2,38,5,25,3
2,1,2,4,41,1,2,9
3,0,4,2,20,12,0,13
0,4,2,4,29,11,13,13
1,3,0,0,56,13,41,21
4,4,0,3,1,0,9,24
4,0,3,3,2,19,5,8
0,2,0,4,25,10,7,5
0,3,4,3,21,30,10,2
1,3,1,4,28,11,23,0
4,1,1,1,23,65,4,2
4,1,2,1,6,25,11,7
4,4,1,0,43,5,5,19
2,4,4,3,38,6,13,18
3,1,0,1,34,5,5,17
4,2,1,3,24,4,6,36
4,4,0,1,60,8,0,7
2,4,2,4,25,23,20,8
3,1,1,0,56,1,2,5
1,3,2,1,38,13,24,4
2,2,3,1,27,6,20,0
3,1,1,1,37,12,0,10
0,4,2,4,16,18,1,2
3,4,0,4,49,6,12,14
0,3,0,3,72,10,23,5
4,4,3,1,39,19,6,2
1,3,0,3,35,13,6,4
1,4,3,1,6,14,8,2
3,2,4,2,66,15,10,8
4,1,2,3,4,5,3,1
3,4,2,4,27,14,5,0
1,0,4,3,29,19,10,13
0,3,2,4,10,16,3,8
2,3,3,0,36,17,1,18
0,3,2,1,5,3,5,0
0,3,4,0,17,13,8,10
0,3,3,4,26,16,2,1
0,1,4,0,19,15,11,1
3,1,2,4,60,24,2,23
1,4,4,2,27,0,10,6
1,3,0,0,3,1,3,36
0,1,0,3,54,12,3,4
0,4,1,0,86,1,5,0
0,2,1,2,43,21,12,14
2,2,2,1,33,0,2,10
3,3,4,1,36,1,14,0
2,1,4,4,36,9,11,8
2,4,3,0,22,32,12,49
0,2,4,1,28,30,3,0
2,2,2,1,0,9,2,16
3,3,0,2,4,6,39,4
1,0,3,1,15,44,3,10
3,1,3,0,10,13,42,3
1,4,3,1,35,16,29,3
1,2,3,3,0,1,28,1
3,3,2,3,86,21,27,14
3,0,2,4,0,8,26,1
4,3,4,0,21,21,26,2
0,2,0,2,14,20,20,9
4,4,0,2,57,21,7,3
4,2,3,3,0,3,1,2
3,0,0,3,24,16,16,0
1,3,4,4,86,0,22,20
2,0,3,4,12,12,26,10
4,2,3,1,107,18,7,26
4,1,1,1,57,3,11,0
4,2,4,0,32,28,4,3
3,4,3,1,11,0,17,5
3,3,1,3,30,42,24,3
2,4,1,4,16,3,4,3
3,4,4,3,42,27,14,10
3,3,2,1,3,12,29,4
4,0,2,4,10,17,2,3
1,3,2,2,56,23,14,4
2,4,0,3,0,14,3,3
3,4,1,4,8,16,7,1
3,1,3,3,15,19,1,7
1,0,1,4,52,2,4,5
4,4,3,0,6,15,24,8
3,0,4,0,11,0,0,2
4,1,1,3,76,13,48,21
0,4,2,4,39,18,13,9
1,4,2,4,10,5,8,14
1,4,3,4,33,8,2,12
3,4,1,4,42,23,7,1
0,0,1,0,29,1,0,4
3,2,0,3,37,12,5,3
3,2,3,4,2,0,4,42
4,0,0,3,26,9,6,12
3,4,4,0,1,21,5,12
2,2,3,2,49,29,15,12
1,3,2,0,7,18,31,8
4,0,4,1,0,7,14,2
4,0,1,4,40,4,7,13
4,0,1,0,53,7,6,20
1,2,2,4,40,23,2,1
4,0,4,0,12,4,25,2
1,4,0,2,95,62,8,6
0,0,0,1,22,1,3,2
2,4,0,3,44,11,33,22
3,1,0,1,9,4,14,13
4,1,3,4,41,22,22,2
4,3,4,1,47,10,5,20
0,0,1,1,13,7,34,32
2,1,3,3,74,7,16,29
3,0,1,4,41,18,25,0
4,3,4,4,42,1,2,13
1,2,0,2,27,24,10,6
0,2,1,2,49,1,1,25
1,4,3,0,53,29,22,6
1,3,0,0,37,33,28,19
4,1,2,2,16,9,27,5
2,3,4,4,2,18,9,2
3,0,3,0,26,1,29,3
0,2,4,0,57,14,21,12
0,3,0,1,20,23,1,9
0,4,3,4,53,9,40,24
4,4,0,4,13,3,6,8
0,4,3,4,12,14,16,1
0,4,2,0,33,23,7,27
4,0,1,3,4,2,17,0
0,4,0,0,36,27,31,11
1,3,2,4,38,44,13,0
0,3,0,4,51,7,4,17
0,4,2,3,4,14,10,2
3,3,0,4,33,3,12,7
0,4,1,2,11,7,2,14
4,4,0,0,94,3,52,0
2,2,2,1,2,5,1,4
1,4,2,2,37,7,7,16
1,1,1,2,9,5,2,11
2,4,1,3,15,12,29,2
0,1,0,1,21,24,2,10
4,0,0,4,15,2,6,5
2,1,0,4,61,3,38,11
4,2,3,2,8,4,4,6
1,4,1,1,7,0,28,0
1,1,4,1,23,4,14,2
2,2,4,1,30,0,10,3
3,0,4,0,7,27,35,1
2,1,1,0,31,7,1,36
2,0,4,1,2,10,13,12
4,3,0,3,0,62,15,0
2,0,3,0,18,10,17,1
0,2,3,2,5,4,44,0
4,1,2,4,18,0,30,14
2,3,2,1,19,12,29,6
2,2,1,1,12,10,7,4
2,1,0,0,24,22,26,7
0,1,3,1,30,59,23,18
1,4,3,3,23,24,62,15
3,3,2,3,43,14,23,28
1,3,1,0,24,9,19,0
1,4,1,2,22,10,7,19
4,4,2,2,32,3,29,1
2,3,3,2,28,22,28,0
4,4,0,2,10,8,3,17
1,0,1,1,37,2,46,11
0,0,1,1,28,14,42,2
3,4,0,0,22,3,16,8
1,4,4,4,19,0,1,0
2,4,0,3,46,1,0,5
2,2,0,2,43,12,23,0
1,1,0,2,12,8,4,3
1,0,4,1,31,11,1,8
2,4,1,0,21,3,52,15
1,2,2,2,28,13,5,0
2,3,1,0,72,26,21,4
4,1,4,4,73,56,14,1
4,2,2,2,9,3,23,5
2,0,3,2,6,2,19,2
2,4,4,2,15,9,6,0
1,0,3,0,21,21,31,6
2,2,3,1,47,5,1,5
3,3,2,2,108,42,5,4
2,2,4,1,16,22,0,3
2,2,3,4,27,3,14,0
0,1,1,0,33,1,18,18
3,4,4,1,28,12,1,8
1,4,3,4,29,0,4,6
1,4,4,2,13,29,15,4
2,0,2,2,43,37,28,5
2,2,4,1,76,10,4,20
2,3,4,0,11,9,5,9
1,3,3,4,11,20,4,18
3,4,4,0,34,11,6,8
4,4,3,3,3,9,8,18
3,0,3,3,49,10,2,0
3,2,0,2,15,17,4,8
2,4,2,2,25,27,1,7
4,3,1,2,8,6,0,4
4,4,0,2,21,21,10,16
0,0,3,4,34,7,27,4
3,4,1,3,56,9,18,7
1,3,1,3,16,23,22,8
4,4,4,4,38,13,26,5
3,2,3,3,37,7,18,6
1,2,4,1,18,0,34,1
2,4,0,2,2,42,59,0
1,1,1,0,8,6,7,1
2,3,2,0,19,0,2,12
3,4,1,0,7,16,2,14
4,2,2,1,40,8,22,1
4,2,3,1,94,9,24,0
4,0,1,0,39,19,8,9
2,4,0,3,26,24,29,2
4,4,2,3,27,21,12,15
1,1,3,2,57,14,9,17
3,3,2,1,5,6,5,9
4,0,4,3,23,0,3,6
1,3,3,0,9,7,2,13
1,4,2,3,38,11,15,18
1,4,1,4,93,21,10,2
4,4,0,3,9,8,22,12
4,2,4,3,51,8,2,16
3,4,3,3,50,36,3,9
3,3,2,2,70,21,42,8
4,0,2,1,43,15,4,2
2,3,3,3,28,18,37,2
3,2,2,0,12,2,9,11
2,0,0,2,30,0,4,13
0,3,2,0,20,43,27,0
2,2,2,4,15,6,3,7
0,4,1,2,23,5,0,2
3,3,3,2,4,7,2,3
1,4,0,0,41,22,23,6
4,0,2,0,5,10,4,0
3,2,2,3,7,21,24,21
0,1,4,0,34,54,8,2
0,3,0,4,55,1,25,7
4,3,4,3,18,0,9,3
1,2,3,0,28,37,5,2
2,3,0,4,14,9,37,2
1,4,1,2,82,14,29,2
4,1,4,4,59,18,10,8
4,2,0,0,37,5,4,9
1,2,1,3,1,14,4,11
4,2,1,1,24,9,1,1
0,2,1,3,19,17,20,0
4,0,3,4,6,4,16,7
3,2,2,2,44,9,6,0
1,4,1,3,37,10,50,10
0,2,1,2,59,19,25,10
1,3,0,0,56,1,15,38
0,1,0,1,36,16,12,0
2,2,3,3,24,6,10,0
0,3,0,1,21,2,22,8
1,4,1,3,4,5,10,13
3,0,3,3,16,3,16,4
2,1,1,2,15,38,16,7
3,3,0,1,33,15,14,2
0,1,3,2,37,22,7,5
3,4,0,4,19,5,3,23
4,1,4,1,88,4,12,8
2,2,1,4,9,3,7,5
4,0,3,4,28,0,6,1
2,1,4,3,25,1,22,7
0,0,0,3,13,22,1,8
2,1,4,3,19,10,62,4
2,0,0,3,5,51,23,14
3,4,0,0,0,15,17,1
2,4,2,4,2,34,19,4
2,0,0,0,44,41,12,3
3,4,3,2,56,29,0,12
4,1,4,2,27,7,26,4
3,1,1,3,42,9,20,7
1,3,2,3,34,12,8,10
4,1,2,2,33,7,12,38
2,2,3,3,50,1,22,0
0,2,3,4,27,5,11,1
0,2,3,3,26,39,17,6
4,3,3,0,18,29,18,0
4,3,1,2,0,1,32,2
4,0,1,3,59,4,24,1
2,4,3,0,4,13,12,3
0,1,3,0,22,53,9,10
2,1,2,1,54,13,15,12
4,0,4,1,1,11,13,15
2,3,4,2,4,23,0,32
0,4,1,3,11,9,9,8
1,3,0,2,49,19,0,13
2,4,2,3,27,4,31,9
3,4,0,0,39,12,8,21
1,1,3,3,41,24,25,5
0,2,0,4,21,12,4,13
2,3,3,3,2,16,1,10
2,0,3,3,5,2,10,10
3,2,2,3,4,8,14,1
3,0,0,4,63,10,37,6
1,4,1,3,0,0,44,12
1,0,0,1,24,35,7,10
2,3,3,3,2,13,13,19
4,0,2,2,27,6,3,5
4,4,3,4,15,18,4,6
4,2,2,0,50,12,6,5
4,3,4,4,14,30,10,7
1,4,3,4,27,18,13,4
0,3,4,1,17,4,38,4
3,2,3,1,9,4,3,5
2,1,2,0,35,6,7,0
2,0,4,2,6,19,4,7
3,1,4,3,28,11,14,0
0,1,3,0,25,18,5,24
1,3,3,3,30,12,2,47
3,0,3,1,25,0,5,15
1,0,3,4,71,0,2,5
4,2,2,0,92,19,25,5
2,3,0,4,46,28,44,2
3,0,1,1,87,11,17,0
3,4,4,3,15,4,12,18
0,1,0,4,2,6,4,13
3,2,3,4,36,2,17,11
4,3,1,1,19,1,8,3
4,3,4,4,19,0,23,28
1,2,2,4,79,15,7,6
0,3,4,2,26,6,31,8
1,2,1,3,23,10,3,2
3,1,3,0,36,4,8,3
0,1,1,0,13,24,1,13
0,1,4,0,23,15,10,9
3,1,4,4,1,3,5,1
0,1,3,1,36,0,15,25
1,2,1,3,15,2,21,0
1,1,1,2,4,0,8,3
1,3,2,3,64,6,16,13
1,0,2,2,21,47,43,10
2,1,1,4,61,16,3,0
1,3,0,4,76,8,29,17
4,2,2,2,12,17,45,7
2,2,2,3,37,4,8,5
4,4,4,2,37,5,25,1
2,4,1,0,26,13,8,33
1,2,4,1,28,22,4,10
3,2,0,4,14,4,15,5
1,2,0,0,47,11,5,14
1,0,1,2,3,8,15,0
3,1,0,1,7,6,13,18
1,2,3,0,21,18,33,14
4,0,3,0,36,1,48,11
4,2,4,0,48,8,6,11
3,3,3,1,21,4,13,7
4,0,1,2,54,17,12,5
0,0,1,2,42,2,4,7
2,1,0,1,44,13,39,3
4,0,0,0,4,0,13,13
2,2,1,3,33,11,8,4
1,3,4,4,39,1,6,3
4,3,1,1,14,2,25,13
1,4,0,3,18,0,9,17
1,3,4,1,47,18,8,0
4,3,2,4,33,14,8,2
1,1,0,2,43,1,3,19
3,1,2,1,43,7,8,0
4,1,1,2,30,11,28,2
2,3,3,2,53,32,19,0
4,0,4,1,38,5,0,6
3,3,4,2,24,6,24,3
2,0,3,4,36,56,3,11
0,4,4,2,39,3,8,2
2,4,4,1,18,1,61,2
0,4,4,2,46,1,37,7
0,0,2,2,31,8,16,3
0,2,4,1,30,27,3,15
1,4,3,3,11,33,6,4
2,4,2,2,26,4,61,0
1,4,2,2,24,25,17,0
4,0,4,0,47,12,31,3
0,1,2,2,2,17,22,1
0,0,4,0,14,7,19,11
4,1,1,3,53,3,16,0
0,2,4,3,7,15,4,0
3,0,0,2,30,6,9,2
4,2,3,3,39,28,17,3
2,3,0,4,89,24,39,3
0,3,3,2,28,1,21,6
2,0,2,0,39,1,34,5
4,4,3,3,2,5,15,54
4,2,0,2,36,1,12,15
3,0,3,1,20,10,1,3
3,0,4,1,15,12,2,2
3,3,3,3,15,22,16,13
1,0,1,1,57,1,4,6
3,1,2,4,43,29,1,3
